Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Cases/1M population,Deaths/1M population,Total Tests,Tests/1M population,Population
Afghanistan,157508,7317,140911.0,9280.0,3920,182,798660.0,19878.0,40178842
Albania,201902,3115,192428.0,6359.0,70268,1084,1406517.0,489512.0,2873305
Algeria,211662,6111,145350.0,60201.0,4706,136,230861.0,5132.0,44981074
Andorra,18631,133,16446.0,2052.0,240580,1717,204343.0,2638659.0,77442
Angola,65259,1735,63325.0,199.0,1901,51,1192540.0,34745.0,34323049
Antigua and Barbuda,4148,117,4019.0,12.0,41862,1181,18088.0,182547.0,99087
Argentina,5343153,116680,5203809.0,22664.0,116693,2548,26452899.0,577723.0,45788182
Armenia,341058,7718,322406.0,10934.0,114790,2598,2411285.0,811564.0,2971159
Aruba,16450,174,16095.0,181.0,153146,1620,177885.0,1656069.0,107414
Australia,220552,2065,197278.0,21209.0,8508,80,48880546.0,1885648.0,25922411
Austria,1207336,12921,1098287.0,96128.0,132969,1423,113295295.0,12477697.0,9079824
Azerbaijan,596973,7983,565521.0,23469.0,58129,777,5608158.0,546087.0,10269722
Bahamas,22839,705,21644.0,490.0,57296,1769,170281.0,427186.0,398611
Bahrain,277856,1394,276148.0,314.0,155590,781,7513731.0,4207445.0,1785818
Bangladesh,1577720,28005,1542600.0,7115.0,9446,168,11000843.0,65860.0,167032920
Barbados,26200,240,23596.0,2364.0,91011,834,443979.0,1542247.0,287878
Belarus,666137,5193,655001.0,5943.0,70529,550,10545014.0,1116479.0,9444880
Belgium,1868906,27319,1387296.0,454291.0,160260,2343,25383627.0,2176666.0,11661699
Belize,30824,582,29225.0,1017.0,75562,1427,357056.0,875290.0,407929
Benin,24863,161,24546.0,156.0,1977,13,604310.0,48053.0,12575926
Bermuda,5751,106,5615.0,30.0,92834,1711,650541.0,10501235.0,61949
Bhutan,2641,3,2625.0,13.0,3370,4,1251658.0,1597028.0,783742
Bolivia,544666,19247,498782.0,26637.0,45769,1617,2593083.0,217899.0,11900368
Bosnia and Herzegovina,278511,12780,192218.0,73513.0,85652,3930,1413601.0,434735.0,3251641
Botswana,195552,2420,192452.0,680.0,80828,1000,1905739.0,787700.0,2419371
Brazil,22147476,615789,21370388.0,161299.0,103147,2868,63776166.0,297023.0,214718105
British Virgin Islands,2816,38,,,92273,1245,82570.0,2705616.0,30518
Brunei,15202,98,14837.0,267.0,34280,221,631475.0,1423966.0,443462
Bulgaria,705586,29060,577043.0,99483.0,102651,4228,6739603.0,980498.0,6873653
Burkina Faso,16000,286,15345.0,369.0,737,13,234250.0,10785.0,21720365
Burundi,20473,38,773.0,19662.0,1652,3,345742.0,27893.0,12395483
Cabo Verde,38453,351,37980.0,122.0,68105,622,211166.0,374002.0,564612
Cambodia,120286,2967,116642.0,677.0,7055,174,2725832.0,159879.0,17049325
Cameroon,107148,1804,102716.0,2628.0,3898,66,1751774.0,63728.0,27488114
Canada,1812244,29800,1753116.0,29328.0,47422,780,49415557.0,1293098.0,38214862
CAR,11742,101,6859.0,4782.0,2372,20,60228.0,12168.0,4949614
Caribbean Netherlands,3057,22,2851.0,184.0,115050,828,30126.0,1133792.0,26571
Cayman Islands,7663,9,3998.0,3656.0,114674,135,208299.0,3117129.0,66824
Chad,5701,181,4874.0,646.0,333,11,157235.0,9196.0,17097669
Channel Islands,19475,105,17201.0,2169.0,110558,596,1085647.0,6163126.0,176152
Chile,1774048,38531,1668091.0,67426.0,91679,1991,26010495.0,1344169.0,19350607
China,99297,4636,93554.0,1107.0,69,3,160000000.0,111163.0,1439323776
